,stationid,sampleid,samplingorganization,trawlnumber,invertspecies,abundancequalifier_1,abundance_1,anomaly_1,diversityindexexclude_1,comments_1,abundancequalifier_2,abundance_2,anomaly_2,diversityindexexclude_2,comments_2,abundancequalifier Check,abundance Check,anomaly Check,diversityindexexclude Check,comments Check
0,B18-10220,none,Orange County Sanitation District,1,Astropecten armatus,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
1,B18-10220,none,Orange County Sanitation District,1,Bulla gouldiana,none,1.0,none,no,"SAMPLE,V-1",none,1.0,none,no,"SAMPLE,V-1",True,True,True,True,True
2,B18-10220,none,Orange County Sanitation District,1,Farfantepenaeus californiensis,none,1.0,none,no,"SAMPLE,V-1",none,1.0,none,no,"SAMPLE,V-1",True,True,True,True,True
3,B18-10220,none,Orange County Sanitation District,1,Pyromaia tuberculata,none,1.0,none,no,"SAMPLE,V-1",none,1.0,none,no,"SAMPLE,V-1",True,True,True,True,True
4,B18-10222,none,Orange County Sanitation District,1,Cymothoidae,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
5,B18-10222,none,Orange County Sanitation District,1,Portunus xantusii,none,13.0,none,no,QC,none,13.0,none,no,,True,True,True,True,False
6,B18-10222,none,Orange County Sanitation District,1,Loxorhynchus crispatus,none,1.0,none,no,"SAMPLE,V-1 photo taken",none,1.0,none,no,"PHOTO,V-1",True,True,True,True,False
7,B18-10222,none,Orange County Sanitation District,1,Metacarcinus gracilis,none,3.0,none,no,,none,3.0,none,no,,True,True,True,True,True
8,B18-10222,none,Orange County Sanitation District,1,Astropecten californicus,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
9,B18-10222,none,Orange County Sanitation District,1,Astropecten sp,none,1.0,none,no,juvenile Ex.=Yes,none,1.0,none,no,,True,True,True,True,False
10,B18-10222,none,Orange County Sanitation District,1,Stylatula elongata,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
11,B18-10222,none,Orange County Sanitation District,1,Latulambrus occidentalis,none,1.0,none,no,"SAMPLE,V-1",none,1.0,none,no,"SAMPLE,V-1",True,True,True,True,True
12,B18-10222,none,Orange County Sanitation District,1,Pagurus spilocarpus,none,1.0,none,no,"SAMPLE,V-1",none,1.0,none,no,"SAMPLE,V-1",True,True,True,True,True
13,B18-10222,none,Orange County Sanitation District,1,Pyromaia tuberculata,none,6.0,none,no,,none,6.0,none,no,,True,True,True,True,True
14,B18-10223,none,Orange County Sanitation District,1,Sicyonia penicillata,none,92.0,none,no,"SAMPLE,V-1 QC",none,92.0,none,no,"SAMPLE,V-1 QC",True,True,True,True,True
15,B18-10223,none,Orange County Sanitation District,1,Metacarcinus gracilis,none,4.0,none,no,,none,4.0,none,no,,True,True,True,True,True
16,B18-10223,none,Orange County Sanitation District,1,Astropecten armatus,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
17,B18-10223,none,Orange County Sanitation District,1,Crangon nigromaculata,none,32.0,none,no,QC,none,32.0,none,no,,True,True,True,True,False
18,B18-10223,none,Orange County Sanitation District,1,Randallia ornata,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
19,B18-10225,none,Orange County Sanitation District,1,Hamatoscalpellum californicum,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
20,B18-10225,none,Orange County Sanitation District,1,Astropecten armatus,none,1.0,none,no,"SAMPLE,V-1",none,1.0,none,no,"SAMPLE,V-1",True,True,True,True,True
21,B18-10225,none,Orange County Sanitation District,1,Randallia ornata,none,1.0,O,no,"SAMPLE,V-1 photo taken Covered with acorn barnacles",none,1.0,none,no,"PHOTO,V-1 covered w/ acorn barnacles",True,True,False,True,False
22,B18-10225,none,Orange County Sanitation District,1,Armina californica,none,1.0,none,no,"SAMPLE,V-1",none,1.0,none,no,"SAMPLE,V-1",True,True,True,True,True
23,B18-10225,none,Orange County Sanitation District,1,Pleurobranchaea californica,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
24,B18-10225,none,Orange County Sanitation District,1,Astropecten californicus,none,11.0,none,no,,none,11.0,none,no,,True,True,True,True,True
25,B18-10225,none,Orange County Sanitation District,1,Astropecten sp,none,1.0,none,no,Ex.=Yes,none,1.0,none,no,,True,True,True,True,False
26,B18-10225,none,Orange County Sanitation District,1,Ophiothrix spiculata,none,2.0,none,no,,none,2.0,none,no,,True,True,True,True,True
27,B18-10225,none,Orange County Sanitation District,1,Stylatula elongata,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
28,B18-10225,none,Orange County Sanitation District,1,Pyromaia tuberculata,none,2.0,none,no,,none,2.0,none,no,,True,True,True,True,True
29,B18-10225,none,Orange County Sanitation District,1,Melanochlamys diomedea,none,1.0,none,no,"SAMPLE,V-1 photo taken",none,1.0,none,no,"PHOTO,V-1",True,True,True,True,False
30,B18-10226,none,Orange County Sanitation District,1,Hamatoscalpellum californicum,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
31,B18-10226,none,Orange County Sanitation District,1,Luidia armata,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
32,B18-10226,none,Orange County Sanitation District,1,Astropecten californicus,none,28.0,none,no,,none,28.0,none,no,,True,True,True,True,True
33,B18-10226,none,Orange County Sanitation District,1,Luidia sp,none,1.0,none,no,Ex.=Yes,none,1.0,none,no,,True,True,True,True,False
34,B18-10226,none,Orange County Sanitation District,1,Paguristes bakeri,none,2.0,none,no,"SAMPLE,V-1 OC-1",none,2.0,none,no,"SAMPLE,V-1 OC-1",True,True,True,True,True
35,B18-10227,none,Orange County Sanitation District,1,Sicyonia penicillata,none,20.0,none,no,,none,20.0,none,no,,True,True,True,True,True
36,B18-10227,none,Orange County Sanitation District,1,Crangon nigromaculata,none,3.0,none,no,"SAMPLE,V-3",none,3.0,none,no,"SAMPLE,V-3",True,True,True,True,True
37,B18-10227,none,Orange County Sanitation District,1,Astropecten californicus,none,3.0,none,no,,none,3.0,none,no,,True,True,True,True,True
38,B18-10227,none,Orange County Sanitation District,1,Portunus xantusii,none,1.0,none,no,"SAMPLE,V-1",none,1.0,none,no,"SAMPLE,V-1",True,True,True,True,True
39,B18-10227,none,Orange County Sanitation District,1,Flabellinopsis iodinea,none,1.0,none,no,"SAMPLE,V-1 photo taken",none,1.0,none,no,"PHOTO,V-1",True,True,True,True,False
40,B18-10228,none,Orange County Sanitation District,2,Cymothoidae,none,1.0,none,no,,none,1.0,none,no,,True,True,True,True,True
